Artists,Tracks,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Views,Likes,Comments,Duration_ms,Stream
Carla Morrison,10,0.6288,0.36219999999999997,4.3,-8.4244,0.039760000000000004,0.6324000000000001,0.0004688110000000001,0.11228,0.35729,131.573,84670878.5,499735.9,12438.7,242834.9,96529255.7
Christina Perri,10,0.5048999999999999,0.31822,4.8,-10.0554,0.03768,0.6548999999999999,0.0011722480000000003,0.13365,0.31156000000000006,123.3124,300475773.6,1977006.2,72065.8,212037.4,241581724.3
Nanpa Básico,10,0.7255,0.48020000000000007,5.8,-8.799199999999999,0.21491000000000002,0.5611,1.353e-06,0.11632,0.47440000000000004,103.16299999999998,112156271.0,749511.0,11096.2,213485.0,72667451.9
Alex G,10,0.6054999999999999,0.5065000000000001,7.1,-9.2327,0.04016,0.4507883,0.45390880000000006,0.12530000000000002,0.40207,107.9775,673739.6,17071.5,535.4,156689.5,28118739.6
Kevin Roldan,10,0.7605000000000001,0.6743,5.8,-5.3629999999999995,0.22591999999999998,0.26398,0.002813099,0.23583000000000004,0.6738000000000001,131.1388,119987845.6,550158.9,11936.5,224695.3,83705039.3
Fran C,10,0.7995,0.7626,5.8,-5.4782,0.06901,0.10330100000000002,0.0007653790000000002,0.17028,0.6457,98.3977,8021529.6,74152.4,1886.9,200642.9,16899282.7
Andy Grammer,10,0.6919000000000001,0.7121000000000002,3.3,-5.3924,0.051550000000000006,0.13232700000000003,4.5649999999999995e-06,0.18370999999999998,0.57761,108.8924,22253336.0,215128.1,5284.0,179852.0,171139681.4
Shouse,10,0.6365999999999999,0.7539,6.1,-6.5336,0.048549999999999996,0.018976,0.091864105,0.15967,0.30016,125.28870000000002,15862822.1,180669.3,2736.3,246144.3,96319360.3
Rvssian,10,0.7207999999999999,0.6933,7.7,-5.5878,0.11627000000000001,0.09174,0.000185096,0.20924,0.49749999999999994,125.5607,207550834.4,1146447.4,37716.9,190115.1,133222017.7
MAX,10,0.6163,0.6180999999999999,5.7,-5.9802,0.0709,0.31848,0.00010841000000000001,0.19083,0.475,111.1081,25448140.1,552946.6,21082.4,187575.0,119322031.3
Ana Mena,10,0.7169,0.7533,5.9,-4.331999999999999,0.05591999999999999,0.10677,0.0,0.16754,0.7249,119.88029999999999,67185167.4,281873.6,8017.0,188889.4,62032337.1
Daya,10,0.7123,0.7032,4.8,-5.301799999999999,0.06309000000000001,0.24261,0.001043618,0.21956999999999996,0.371,107.83760000000002,9609477.4,143630.8,3477.8,192431.7,151668084.0
Jacquees,10,0.6646000000000001,0.5287999999999999,4.8,-7.539800000000001,0.10145,0.185838,5.83e-07,0.17429,0.38049999999999995,127.61420000000001,64267057.7,446578.1,6762.9,206830.9,73913642.0
Bethel Music,10,0.3879,0.5439,5.5,-7.9602,0.03511,0.219995,2.9676999999999997e-05,0.19595,0.2686,132.47959999999998,42007021.8,285748.8,9498.0,388630.7,52121426.4
